iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,population_population_number_of_people,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year
UKR,ECS,Ukraine,LMC,11534.6377,37,5,4,22,25,7,NA,NA,NA,45004644,1400000,277000,448000000,587000,NA,15242025
URY,LCN,Uruguay,HIC,20588.39258,53.5,3,5,7.5,20,11,NA,NA,NA,3431552,NA,37000,NA,NA,NA,1260139.509
USA,NAC,United States,HIC,61498.37109,14.9,4.4,9,3.2,26.6,12.9,9.5,6.2,13.3,326687488,534000000,2440000,28800000,7600000000,2600000,265224528
UZB,ECS,Uzbekistan,LMC,5164.274414,40,3,2,17.5,17.5,2.5,1.5,4,NA,29774500,NA,NA,NA,NA,NA,4000000
VCT,LCN,St. Vincent and the Grenadines,UMC,11971.99316,49.6,5.6,3.8,10.5,22.1,8.4,NA,NA,NA,109455,NA,900,NA,NA,NA,31561.34925
VEN,LCN,"Venezuela, RB",UMC,14269.67383,NA,NA,NA,NA,NA,NA,NA,NA,NA,29893080,NA,232700,123157,NA,NA,9779093.14
VGB,LCN,British Virgin Islands,HIC,24215.88281,6.5,18.1,8.6,4.8,33.5,6.3,NA,22.2,NA,20645,NA,NA,NA,NA,NA,21099.19
VIR,LCN,Virgin Islands (U.S.),HIC,30436.56445,46,7,7,12,15,13,NA,NA,NA,105784,NA,NA,NA,NA,NA,146500
VNM,EAS,Vietnam,LMC,5089.411133,61.9,2.18,0.58,15.18,5.2,12.15,0.6,3.74,NA,86932496,NA,141000,2995153.5,9600000,200000,9570300
VUT,EAS,Vanuatu,LMC,3061.787354,73.4,5.4,3.8,5.7,4.05,6.45,1.2,NA,NA,270402,NA,300,NA,NA,139.1,70225.489
WSM,EAS,Samoa,UMC,6210.983398,42.6,2.2,8.8,19.4,7.2,13,6.8,NA,NA,187665,NA,500,NA,NA,36.14,27399.09
XKX,ECS,Kosovo,LMC,9723.561523,42,6,6,20,8,11,NA,7,NA,1801800,217241,23,495,NA,834,319000
YEM,MEA,"Yemen, Rep.",LIC,8269.671875,65,1,6,6,7,10,1,3,1,27584212,NA,42000,21000,NA,NA,4836820
ZAF,SSF,South Africa,UMC,12666.60742,16.38165463,5.20021637,16.9104609,45.02064557,9.396918238,7.090104302,NA,NA,NA,51729344,NA,321000,1319096,NA,NA,18457232
ZMB,SSF,Zambia,LMC,3201.289307,NA,NA,NA,NA,NA,NA,NA,NA,NA,14264756,NA,15000,80000,NA,NA,2608268
ZWE,SSF,Zimbabwe,LIC,3190.506592,36,5,6,3,27,23,NA,NA,NA,12500525,NA,13000,37346,NA,NA,1449752
